id,drcog_id,latitude,longitude,crashdate,crashtime,city,countyname,agencyid,agencydetl,agencycode,crashtype,drcogctype,numbkilled,numbinjurd,privpropty,publicland,totlnmtrst,secndcrash,constrzone,schoolzone,onroad,rfintsctrd,drcoglocat,intofstdis,intfstdisu,intofstdir,milepoint,highwaynam,intsthghwy,statehwy,othrroadwy,mioffstdis,miofstdisu,mioffstdir,location,lnposition,harmevscd1,harmevscd2,harmevscd3,harmevscd4,harmevsmst,roadcntgrd,roaddescrp,apovrtktrn,lightngcon,rdconditin,weatherco1,weatherco2,highwaynum,numlnsblkd,rdcntrcurv,ttlvehicle,wildanimal,crashformv,city_street,rrcrossing,roadsurfac,roadcontur,drcog_hp,drcogsvrty,drcogttlpi,drcogttlmi,drcogttlsi,drcogttlk,drcogocc,drcogoccpi,drcogoccmi,drcogoccsi,drcogoccki,drcognm,drcognmpi,drcognmmi,drcognmsi,drcognmk,drcog_vru,drcogmodes,drcogsctr,drcogmoto,drcogped,drcogbike,drcogvehcl,TU1_vmov,TU1_dir,TU1_dacts,TU1_cfacts,TU1_rspeed,TUx_vmov,TUx_dir,TUx_dacts,TUx_cfacts,nm_dir,nm_actions,nm_cfacts,drcogcheck,cdot_flag,drcog_flag,Quarter,day_of_week,hour
1224245,2024-036422,39.76719008,-104.99482546,2024-08-25,2026-04-19 21:05:00,DENVER,DENVER,DPD,3/112, ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0,I-25 NB ON RAMP,W PARK AVE,I-25 NB ON RAMP & W PARK AVE,0.0,At the intersection, ,213.0, ,1,0,0,0.0,At the milepoint, ,On-roadway,S01,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Level,At Intersection,Not Applicable,Dark-Lighted,Wet,Rain, ,25,0,Straight,1.0, ,DR3447,O, , , ,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0, , , , ,0.0,Making left turn,West,No contributing action,Not observed,South,Dart/dash,Looked/did not see,1.0,,Y,3,Sunday,21
1224332,2024-036470,39.73833461,-104.9161566,2024-08-21,2026-04-19 15:04:00,DENVER,DENVER,DPD,02 / 242A,2,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,E 14TH AVE,KRAMERIA ST,E 14TH AVE & KRAMERIA ST,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway,E02,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Level,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0,Straight,2.0, ,DR3447,KRAME, , , ,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Going straight,East,Careless driving,Unknown,30.0, , , , ,East,No contributing action,No apparent contributing factor,1.0,Y, ,3,Wednesday,15
1224377,2024-036492,39.73846112,-104.99797063,2024-08-23,2026-04-19 12:50:00,DENVER,DENVER,DPD,"02, 143A", ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0,E 14TH AVE,N SPEER BLVD,E 14TH AVE & N SPEER BLVD,100.0,Feet,W,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Level,Driveway Access Related,Not Applicable,Daylight,Dry,Clear, , ,0,Straight,1.0, ,DR3447,SPEER, , , ,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Entering traffic way/merge,North,Failed to yield row,Distracted/other interior,10.0, , , , ,West,No contributing action,Unknown,1.0,Y, ,3,Friday,12
1225285,2024-037013,39.73845521,-104.99530107,2024-08-29,2026-04-19 08:14:00,DENVER,DENVER,DPD,1-CRT40, ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0,W 14TH AVE,N FOX ST,W 14TH AVE & N FOX ST,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Level,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0,Straight,1.0, ,DR3447,FOXST, , , ,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0, , , , ,0.0,Going straight,East,No contributing action,No apparent contributing factor,East,Failure to yield right-of-way,No apparent contributing factor,1.0,Y, ,3,Thursday,08
1225326,2024-037045,39.74218091,-104.99086665,2024-08-29,2026-04-19 16:13:00,DENVER,DENVER,DPD,2/CRT62, ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0,TREMONT PL,15TH ST,TREMONT PL & 15TH ST,55.0,Feet,SW,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Level,Driveway Access Related,Not Applicable,Daylight,Dry,Clear, , ,0,Straight,1.0, ,DR3447,S0015, , , ,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0, , , , ,0.0,Going straight,Southeast,No contributing action,No apparent contributing factor,Northeast,Other,Other factor,1.0,Y, ,3,Thursday,16
1225380,2024-037085,39.7311364,-104.98613122,2024-08-30,2026-04-19 12:45:00,DENVER,DENVER,DPD,2/CRT61, ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0, LINCOLN ST,E 9TH AVE, LINCOLN ST & E 9TH AVE,250.0,Feet,N,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Level,Non-intersection,Not Applicable,Daylight,Dry,Clear, , ,0,Straight,1.0, ,DR3447,A0009, , , ,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0, , , , ,0.0,Going straight,North,No contributing action,No apparent contributing factor,North,Dart/dash,Aggressive,1.0,Y, ,3,Friday,12
1225549,2024-037181,39.74130543,-104.98954304,2024-08-27,2026-04-19 15:03:00,DENVER,DENVER,DPD,1-CRT64, ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0,15TH ST,COURT PL,15TH ST & COURT PL,150.0,Feet,E,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Level,Driveway Access Related,Not Applicable,Daylight,Dry,Clear, , ,0,Straight,1.0, ,DR3447,COURT, , , ,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Going straight,Southwest,Failed to yield row,No apparent contributing factor,15.0, , , , ,Southeast,Traveling on sidealk against traffic,No apparent contributing factor,1.0,Y, ,3,Tuesday,15
1225733,2024-037276,39.74002484,-104.99801481,2024-08-27,2026-04-19 15:28:00,DENVER,DENVER,DPD,2/636s,1,Pedestrian,Pedestrian,0,0,0,0,0.0,0,0,0, SPEER BLVD,W COLFAX AVE, SPEER BLVD & W COLFAX AVE,0.0, , ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian,Grade Unknown,Non-intersection,Not Applicable,Daylight,Dry,Clear, , ,0,Curve Unknown Direction,2.0, ,DR3447,COLFA, , , ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Other,Unknown,Unknown,Other factor,99.0, , , , ,Unknown,No contributing action,Unknown,1.0,Y, ,3,Tuesday,15
1225752,2024-037286,39.74002055,-104.98110222,2024-08-23,2026-04-19 19:46:00,DENVER,DENVER,DPD,3/MALL61,1,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0,E COLFAX AVE,N PENNSYLVANIA ST,E COLFAX AVE & N PENNSYLVANIA ST,0.0, , ,297.5, ,0,1,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight, , , ,40,0,Straight,1.0, ,DR3447, , , , ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Making right turn,North,Unknown,Unknown,99.0, , , , ,East,No contributing action,Unknown,1.0,Y, ,3,Friday,19
1225832,2024-037329,39.71466348,-104.94994547,2024-08-29,2026-04-19 11:40:00,DENVER,DENVER,DPD,2/CRT37, ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0, STEELE ST,E BAYAUD AVE, STEELE ST & E BAYAUD AVE,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway,N02,Collision with Non-Motorist:Pedestrian,Collision with Object:Other non-Fixed Object, , ,Collision with Non-Motorist:Pedestrian,Level,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,1,Straight,2.0, ,DR3447,BAYAU, , , ,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,2.0,Slowing,North,Careless driving,Other factor,30.0,Stopped in traffic,North,No contributing action,No apparent contributing factor,North,No contributing action,No apparent contributing factor,1.0,Y, ,3,Thursday,11
