id,drcog_id,latitude,longitude,crashdate,crashtime,city,countyname,agencyid,agencydetl,agencycode,crashtype,drcogctype,numbkilled,numbinjurd,privpropty,publicland,totlnmtrst,secndcrash,constrzone,schoolzone,onroad,rfintsctrd,drcoglocat,intofstdis,intfstdisu,intofstdir,milepoint,highwaynam,intsthghwy,statehwy,othrroadwy,mioffstdis,miofstdisu,mioffstdir,location,lnposition,harmevscd1,harmevscd2,harmevscd3,harmevscd4,harmevsmst,roadcntgrd,roaddescrp,apovrtktrn,lightngcon,rdconditin,weatherco1,weatherco2,highwaynum,numlnsblkd,rdcntrcurv,ttlvehicle,wildanimal,crashformv,city_street,rrcrossing,roadsurfac,roadcontur,drcog_hp,drcogsvrty,drcogttlpi,drcogttlmi,drcogttlsi,drcogttlk,drcogocc,drcogoccpi,drcogoccmi,drcogoccsi,drcogoccki,drcognm,drcognmpi,drcognmmi,drcognmsi,drcognmk,drcog_vru,drcogmodes,drcogsctr,drcogmoto,drcogped,drcogbike,drcogvehcl,TU1_vmov,TU1_dir,TU1_dacts,TU1_cfacts,TU1_rspeed,TUx_vmov,TUx_dir,TUx_dacts,TUx_cfacts,nm_dir,nm_actions,nm_cfacts,drcogcheck,cdot_flag,drcog_flag,Quarter,day_of_week,hour
6666,2020-03651,39.78373,-104.76114,2020-07-26,2026-04-19 19:36:00,DENVER,DENVER,DPD,2/542E, ,All Other Pedestrians,Pedestrian,0,1,0,0,0.0,0,0,0,FLANDERS WAY NORTH,GREEN VALLEY RANCH BOULEVARD EAST,FLANDERS WAY NORTH & GREEN VALLEY RANCH BOULEVARD EAST,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Dawn or Dusk,Dry,Clear, , ,0, ,1.0, ,DR2447,GVRBL, ,Blacktop (Bituminous),Straight On-Level,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,,,,,,Going straight,East,No contributing action,No apparent contributing factor,East,No contributing action,No apparent contributing factor,0.0,Y, ,3,Sunday,19
6922,2020-03786,39.75855,-104.98534,2020-07-18,2026-04-19 23:31:00,DENVER,DENVER,DPD,3/251B,1,Rear-End,Rear-end,0,1,0,0,0.0,0,0,0,LARIMER STREET,26TH STREET,LARIMER STREET & 26TH STREET,150.0,Feet,S,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Motor Vehicle in Transport:Front to Rear, , , ,Collision with Motor Vehicle in Transport:Front to Rear, ,Non-intersection,Not Applicable,Dark-Lighted,Dry,Clear, , ,0, ,2.0, ,DR2447,26THS, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Going straight,South,Careless driving,Aggressive driving,30.0,,,,,South,No contributing action,No apparent contributing factor,0.0,Y, ,3,Saturday,23
7349,2020-04056,39.74006,-104.98614,2020-08-05,2026-04-19 16:31:00,DENVER,DENVER,DPD,2/631S, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,COLFAX AVENUE EAST,LINCOLN STREET NORTH,COLFAX AVENUE EAST & LINCOLN STREET NORTH,0.0,At the intersection, ,298.0, ,0,1,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, ,40,0, ,2.0, ,DR2447, , ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Motorcycle; Scooter,Y,Y, , ,2.0,Going straight,West,Unknown,Unknown,30.0,Going straight,West,No contributing action,No apparent contributing factor,West,"Failure to obey traffic signs, signals, or officer",Unknown,0.0,Y, ,3,Wednesday,16
7920,2020-04419,39.65407,-104.91292,2020-08-02,2026-04-19 17:36:00,DENVER,DENVER,DPD,2/344A, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,MONACO STREET SOUTH,GIRARD AVENUE EAST,MONACO STREET SOUTH & GIRARD AVENUE EAST,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,2.0, ,DR2447,GIRAR, ,Blacktop (Bituminous),Straight On-Level,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,,,,,,Making right turn,Southeast,No contributing action,,Southeast,Cross/enter not at intersection,No apparent contributing factor,0.0,Y, ,3,Sunday,17
13860,2020-07448,39.78379,-104.79797,2020-08-19,2026-04-19 15:34:00,DENVER,DENVER,DPD,2/542S, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,GREEN VALLEY RANCH BOULEVARD EAST,MEMPHIS STREET NORTH,GREEN VALLEY RANCH BOULEVARD EAST & MEMPHIS STREET NORTH,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,1.0, ,DR2447,MEMPH, ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Making right turn,Northwest,No contributing action,No apparent contributing factor,40.0,,,,,East,No contributing action,No apparent contributing factor,0.0,Y, ,3,Wednesday,15
13983,2020-07516,39.73688,-104.97301,2020-08-26,2026-04-19 19:30:00,DENVER,DENVER,DPD,3/261A,1,All Other Pedestrians,Pedestrian,0,1,0,0,0.0,0,0,0,DOWNING STREET NORTH,13TH AVENUE EAST,DOWNING STREET NORTH & 13TH AVENUE EAST,25.0,Feet,N,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,Intersection Related,Not Applicable,Daylight,Dry,Clear, , ,0, ,2.0, ,DR2447,13THA, ,Blacktop (Bituminous),Straight On-Level,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Making right turn,Northwest,Failed to yield row,Unknown,30.0,,,,,North,No contributing action,Unknown,0.0,Y, ,3,Wednesday,19
14802,2020-08067,39.74506,-104.98741,2020-08-16,2026-04-19 12:50:00,DENVER,DENVER,DPD,1/CRT64, ,All Other Pedestrians,Pedestrian,0,2,0,0,0.0,0,0,0,18TH STREET,BROADWAY STREET NORTH,18TH STREET & BROADWAY STREET NORTH,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian,Collision with Non-Motorist:Pedestrian, , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,1.0, ,DR2447,BROAD, ,Concrete,Straight On-Level,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,Y,Motorvehicle; Pedestrian; Scooter,Y,, , ,1.0,,,,,,Going straight,West,No contributing action,No apparent contributing factor,West; West,"In roadway improperly (standing, lying, working, playing); In roadway improperly (standing, lying, working, playing)",Aggressive; Aggressive,0.0,Y, ,3,Sunday,12
16481,2020-09082,39.73843153,-104.97990041,2020-08-27,2026-04-19 15:17:00,DENVER,DENVER,DPD,2, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,PEARL STREET NORTH,14TH AVENUE EAST,PEARL STREET NORTH & 14TH AVENUE EAST,5.0,Feet,N,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,2.0, ,DR2447,14THA, ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,,,,,,Going straight,East,No contributing action,No apparent contributing factor,East,Cross/enter not at intersection,Illness/medical,1.0, ,Y,3,Thursday,15
40527,2020-22501,39.73386,-104.98741,2020-11-12,2026-04-19 18:20:00,DENVER,DENVER,DPD,2/631B,1,Pedestrian,Pedestrian,0,0,0,0,0.0,0,0,0,11TH AVENUE WEST,BROADWAY STREET NORTH,11TH AVENUE WEST & BROADWAY STREET NORTH,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Dark-Lighted,Dry,Clear, , ,0, ,1.0, ,DR2447,BROAD, ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Going straight,East,Lane violation,Aggressive driving,25.0,,,,,East,Other,Unknown,0.0,Y, ,4,Thursday,18
46407,2021-00926,39.75774353,-104.99856991,2021-01-05,2026-04-19 18:30:00,DENVER,DENVER,DPD,2/632E, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,20TH ST,CHESTNUT PL,20TH ST & CHESTNUT PL,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Dark-Lighted,Dry,Clear,, ,0,,2.0,,DR2447,CHEST, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,North,No contributing action,No apparent contributing factor,North,Cross/enter at intersection,Unknown,1.0,Y, ,1,Tuesday,18
110282,2021-11865,39.75881353,-105.00265991,2021-03-28,2026-04-19 14:44:00,DENVER,DENVER,DPD,2/632E, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,19TH ST,LITTLE RAVEN ST,19TH ST & LITTLE RAVEN ST,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,, ,0,,2.0,,DR2447,LITTL, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Other,Southwest,Unknown,Aggressive driving,Southwest,Other,Inexperience,1.0,Y, ,1,Sunday,14
110615,2021-12090,39.75161353,-105.00298991,2021-04-01,2026-04-19 14:45:00,DENVER,DENVER,DPD,2/CRT62, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,15TH ST,WEWATTA ST,15TH ST & WEWATTA ST,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,WEWAT, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Making left turn,North,Failed to yield row,Driver unfamiliar with area,25.0,,,,,West,No contributing action,No apparent contributing factor,1.0,Y, ,2,Thursday,14
116476,2021-14520,39.71825353,-104.96665992,2021-05-25,2026-04-19 09:30:00,DENVER,DENVER,DPD,2/301B,1,Pedestrian,Pedestrian,0,0,0,0,0.0,0,0,0,N GILPIN ST,E 1ST AVE,N GILPIN ST & E 1ST AVE,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,Intersection Related,Not Applicable,Daylight,Dry,Clear,, ,0,,2.0,,DR2447,1STAV, ,Concrete,Straight On-Level,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,South,No contributing action,No apparent contributing factor,South,Other,Unknown,1.0,Y, ,2,Tuesday,09
117392,2021-15036,39.74004353,-104.98356991,2021-06-08,2026-04-19 15:25:00,DENVER,DENVER,DPD,2/642A, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,E COLFAX AVE,N GRANT ST,E COLFAX AVE & N GRANT ST,18.0,Feet,S,0.0, ,0,1,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,Collision with Motor Vehicle in Transport:Front to Front,,,Collision with Non-Motorist:Pedestrian,,Intersection Related,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447, , ,Blacktop (Bituminous),Straight On-Grade,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,West,No contributing action,No apparent contributing factor,West,Other,Unknown,1.0,Y, ,2,Tuesday,15
117619,2021-15141,39.75708353,-104.99068991,2021-05-28,2026-04-19 12:28:00,DENVER,DENVER,DPD,1/612A,1,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,1400 BLK PARK AVE WE,WALNUT STQ,1400 BLK PARK AVE WE & WALNUT STQ,150.0,Feet,SE,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,Driveway Access Related,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,WALNU, ,Concrete,Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,Northwest,No contributing action,No apparent contributing factor,Northwest,Other,No apparent contributing factor,1.0,Y, ,2,Friday,12
119904,2021-16390,39.70190354,-104.98721992,2021-05-08,2026-04-19 15:50:00,DENVER,DENVER,DPD,2-332A, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,BROADWAY ST S,I-25 SB OFF RAMP,BROADWAY ST S & I-25 SB OFF RAMP,0.0,0,S,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,N, ,Blacktop (Bituminous),Straight On-Grade,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Other,East,Careless driving,Other factor,25.0,,,,,North,No contributing action,Unknown,1.0,Y, ,2,Saturday,15
121025,2021-16926,39.71811353,-104.95583992,2021-05-16,2026-04-19 15:53:00,DENVER,DENVER,DPD,2/332C, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,1ST AVE E,CLAYTON LN N,1ST AVE E & CLAYTON LN N,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,CLAYT, ,Concrete,Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,East,No contributing action,No apparent contributing factor,East,"Failure to obey traffic signs, signals, or officer",Illness/medical,1.0,Y, ,2,Sunday,15
122471,2021-17761,39.74006353,-104.99164991,2021-04-20,2026-04-19 21:00:00,DENVER,DENVER,DPD,2/631B,1,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,COLFAX AVE W,COURT PL,COLFAX AVE W & COURT PL,0.0,At the intersection, ,297.9, ,0,1,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Dark-Lighted,Dry,Clear,,40,0,,2.0,,DR2447, , ,Blacktop (Bituminous),Straight On-Level,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,North,No contributing action,No apparent contributing factor,North,Improper passing,Unknown,1.0,Y, ,2,Tuesday,21
125612,2021-19057,39.74807353,-104.97752991,2021-01-04,2026-04-19 15:00:00,DENVER,DENVER,DPD,2-T18,2,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,20TH AVE E,757 E 20TH AVE,20TH AVE E & 757 E 20TH AVE,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,Driveway Access Related,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,007HE, ,Concrete,Straight On-Level,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Backing,West,Improper backing,No apparent contributing factor,15.0,,,,,Unknown,No contributing action,Unknown,1.0,Y, ,1,Monday,15
125920,2021-19255,39.74478353,-104.98919991,2021-02-28,2026-04-19 14:30:00,DENVER,DENVER,DPD,2/631E, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,17TH ST,GLENARM PL,17TH ST & GLENARM PL,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,GLENA, ,Concrete,Straight On-Level,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Other,Southeast,No contributing action,No apparent contributing factor,Southeast,Other,No apparent contributing factor,1.0,Y, ,1,Sunday,14
128500,2021-20595,39.76928353,-105.0111899,2021-04-25,2026-04-19 19:14:00,DENVER,DENVER,DPD,2/131C, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,TEJON ST N,38TH AVE W,TEJON ST N & 38TH AVE W,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,38THA, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,North,No contributing action,No apparent contributing factor,North,"Failure to obey traffic signs, signals, or officer",No apparent contributing factor,1.0,Y, ,2,Sunday,19
131370,2021-22029,39.73204353,-104.97524991,2021-06-24,2026-04-19 21:19:00,DENVER,DENVER,DPD,P/663H,1,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,10TH AVE E,OGDEN ST N,10TH AVE E & OGDEN ST N,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Dark-Lighted,Dry,Clear,, ,0,,1.0,,DR2447,OGDEN, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Going straight,West,Unknown,Unknown,99.0,,,,,North,No contributing action,No apparent contributing factor,1.0,Y, ,2,Thursday,21
132061,2021-22383,39.74167353,-104.98231991,2021-06-02,2026-04-19 15:30:00,DENVER,DENVER,DPD,9-621, ,Pedestrian,Pedestrian,0,0,0,0,1.0,0,0,0,16TH AVE E,LOGAN ST N,16TH AVE E & LOGAN ST N,400.0,Feet,E,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,Level,Crossover Related,Not Applicable,Daylight,Dry,Clear,, ,0,Straight,1.0,,DR3447,LOGAN, ,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,East,No contributing action,No apparent contributing factor,East,Traveling on sidealk against traffic,No apparent contributing factor,1.0,Y, ,2,Wednesday,15
132634,2021-22613,39.74012033,-104.90593085,2021-06-20,2026-04-19 21:32:00,DENVER,DENVER,DPD,3, ,Pedestrian,Pedestrian,0,0,0,0,0.0,0,0,0,COLFAX AVE E,PONTIAC ST N,COLFAX AVE E & PONTIAC ST N,75.0,Feet,W,0.0, ,0,1,0,0.0,0, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,Collision with Non-Motorist:Pedestrian,,,Collision with Non-Motorist:Pedestrian,0,Non-intersection,Not Applicable,Dark-Lighted,Dry,Clear,,0.0,0,0,1.0,,DR2447, , ,Concrete,Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,North,No contributing action,No apparent contributing factor,North,Other,Unknown,1.0, ,Y,2,Sunday,21
133044,2021-22861,39.75585337,-104.98185843,2021-07-04,2026-04-19 19:45:00,DENVER,DENVER,DPD,2-231B, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,26TH ST,CHAMPA ST,26TH ST & CHAMPA ST,0.0,At the intersection, ,0.0, ,0,0,0,0.0,0, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,4,,,Collision with Non-Motorist:Pedestrian,0,At Intersection,Not Applicable,Dawn or Dusk,Dry,Clear,,0.0,0,0,2.0,,DR2447,CHAMP, ,Blacktop (Bituminous),Straight On-Grade,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,West,No contributing action,No apparent contributing factor,West,"Failure to obey traffic signs, signals, or officer",Unknown,1.0, ,Y,3,Sunday,19
133423,2021-23016,39.75098352,-104.89279993,2021-06-22,2026-04-19 17:25:00,DENVER,DENVER,DPD,3/243B,1,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,23RD AVE E,UNITA ST N,23RD AVE E & UNITA ST N,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,, ,0,,1.0,,DR2447,UNITA, ,Concrete,Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Going straight,West,Careless driving,Aggressive driving,25.0,,,,,West,Other,Unknown,1.0,Y, ,2,Tuesday,17
136038,2021-24227,39.75433353,-104.99425991,2021-07-10,2026-04-19 21:00:00,DENVER,DENVER,DPD,652G, ,Pedestrian,Pedestrian,0,0,0,0,0.0,0,0,0,BLAKE ST,20TH ST,BLAKE ST & 20TH ST,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Dark-Lighted,Dry,Clear,, ,0,,2.0,,DR2447,20THS, ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,South,No contributing action,No apparent contributing factor,South,"Failure to obey traffic signs, signals, or officer",Unknown,1.0,Y, ,3,Saturday,21
138016,2021-25236,39.74005353,-104.98612991,2021-06-25,2026-04-19 16:00:00,DENVER,DENVER,DPD,2/CRT21, ,Pedestrian,Pedestrian,0,1,0,0,1.0,0,0,0,COLFAX AVE E,LINCOLN ST N,COLFAX AVE E & LINCOLN ST N,5.0,Feet,N,295.25, ,0,1,0,0.25,Miles,E,On-roadway,N04,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,Level,At Intersection,Not Applicable,Daylight,Dry,Clear,,40,1,Straight,1.0,,DR3447, , ,,,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,West,No contributing action,No apparent contributing factor,West,Traveling on sidewalk with traffic,Inexperience,1.0,Y, ,2,Friday,16
142053,2021-27638,39.65050355,-105.05300991,2021-06-04,2026-04-19 07:46:00,DENVER,DENVER,DPD,1/423J, ,Pedestrian,Pedestrian,0,0,0,0,0.0,0,0,0,SHERIDAN BLVD S,KENYON AVE W,SHERIDAN BLVD S & KENYON AVE W,0.0,At the intersection, ,0.05, ,0,1,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Daylight,Dry,Clear,,95A,0,,1.0,,DR2447,KENYO, ,Concrete,Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,Making left turn,East,Failed to yield row,,35.0,,,,,West,No contributing action,No apparent contributing factor,1.0,Y, ,2,Friday,07
